STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
42,001,031000,42001031000,1778,668,P,8000752,7969052,42,001,031000,42001031000,1781,669,P,8056367,8010121,8000514,7968814,100.00,100.00,99.31,99.48,1778,100.00,99.83,668,100.00,99.85
42,001,031000,42001031000,1778,668,P,8000752,7969052,42,001,031101,42001031101,5163,2261,P,3011985,3007704,238,238,0.00,0.00,0.01,0.01,0,0.00,0.00,0,0.00,0.00
42,001,031101,42001031101,5166,2262,P,3055796,3051515,42,001,031000,42001031000,1781,669,P,8056367,8010121,41258,41258,1.35,1.35,0.51,0.52,3,0.06,0.17,1,0.04,0.15
42,001,031101,42001031101,5166,2262,P,3055796,3051515,42,001,031101,42001031101,5163,2261,P,3011985,3007704,3011747,3007466,98.56,98.56,99.99,99.99,5163,99.94,100.00,2261,99.96,100.00
42,001,031101,42001031101,5166,2262,P,3055796,3051515,42,001,031102,42001031102,3179,1175,P,17408994,17292037,2791,2791,0.09,0.09,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,031102,42001031102,3179,1175,W,17406203,17289246,42,001,031102,42001031102,3179,1175,P,17408994,17292037,17406203,17289246,100.00,100.00,99.98,99.98,3179,100.00,100.00,1175,100.00,100.00
42,001,031201,42001031201,3680,1547,P,67889368,67284075,42,001,030600,42001030600,4928,1871,P,89240806,88828477,7974,2704,0.01,0.00,0.01,0.00,12,0.33,0.24,4,0.26,0.21
42,001,031201,42001031201,3680,1547,P,67889368,67284075,42,001,030700,42001030700,6493,2561,P,81705898,81268436,201757,186311,0.30,0.28,0.25,0.23,7,0.19,0.11,4,0.26,0.16
42,001,031201,42001031201,3680,1547,P,67889368,67284075,42,001,031201,42001031201,3670,1543,P,67930024,67345447,67679637,67095060,99.69,99.72,99.63,99.63,3661,99.48,99.75,1539,99.48,99.74
42,001,031202,42001031202,2666,1006,P,28529012,28492545,42,001,030700,42001030700,6493,2561,P,81705898,81268436,57919,57919,0.20,0.20,0.07,0.07,0,0.00,0.00,0,0.00,0.00
